OriginalCityStateID,NewCityStateID,City,OriginalState,NewState,MatchValue,MlInputCity,MlPredictedState,MlConfidence
shenandoahtx,shenandoahtx,shenandoah,TX,TX,100.0,shenandoah,VA,0.1993203188319274
glenlynva,glenlynpa,glen lyn,VA,PA,88.88888888888889,glen lyn,NJ,0.103151841375618
pointlayak,pointlayca,point lay,AK,CA,75.0,point lay,AK,0.2429863284604953
rgdontx,rgdonal,rgdon,TX,AL,75.0,rgdon,PA,0.0259794308996445
duchesslandingok,duchesslandingnm,duchess landing,OK,NM,80.0,duchess landing,HI,0.4591867362733646
jaspermn,jasperal,jasper,MN,AL,100.0,jasper,SC,0.1411100336373567
kennerla,kennerla,kenner,LA,LA,100.0,kenner,LA,0.1373921452925714
oiltontx,oiltonca,oilton,TX,CA,100.0,oilton,OK,0.1512249121480798
arhurknd,arhuril,arhur,KND,IL,83.33333333333334,arhur,IL,0.0516646472090248
clearlakewa,clearlakewa,clear lake,WA,WA,100.0,clear lake,SD,0.195714298055129
willitsca,willitsca,willits,CA,CA,100.0,willits,CA,0.0431560550707599
frontenacks,frontenacks,frontenac,KS,KS,100.0,frontenac,KS,0.0534704928238851
paxtoniapa,paxtoniapa,paxtonia,PA,PA,100.0,paxtonia,PA,0.0361012609900843
springhilltn,springhilltn,spring hill,TN,TN,100.0,spring hill,MD,0.1521285141733802
uphmand,uphmaca,uphma,ND,CA,66.66666666666666,uphma,PA,0.0259794308996445
jeffersonla,jeffersonla,jefferson,LA,LA,100.0,jefferson,LA,0.090274873991575
millermo,millersd,miller,MO,SD,100.0,miller,AR,0.2246462475804874
hatleywi,hatleyca,hatley,WI,CA,85.71428571428571,hatley,CA,0.0431560550707599
carlyssla,carlyssla,carlyss,LA,LA,100.0,carlyss,LA,0.0601926739649647
invernessms,invernessal,inverness,MS,AL,100.0,inverness,FL,0.1479802353601206
canalwinchesterh,canalwinchesteroh,canal winchester,H,OH,100.0,canal winchester,OH,0.3475161466195845
leonvalleytx,leonvalleytx,leon valley,TX,TX,100.0,leon valley,CA,0.0910698690485058
pineknollshoresnc,pineknollshoresnc,pine knoll shores,NC,NC,100.0,pine knoll shores,NC,0.2638633994158625
stebbinsak,stebbinsme,stebbins,AK,ME,85.71428571428571,stebbins,PA,0.0259794308996445
greasewoodaz,greasewoodca,greasewood,AZ,CA,75.0,greasewood,PA,0.0259794308996445
lismoremn,lismoreky,lismore,MN,KY,85.71428571428571,lismore,PA,0.0259794308996445
puntamlakeny,puntamlakeny,puntam lake,NY,NY,90.9090909090909,puntam lake,WI,0.2212458142848364
beardennr,beardende,bearden,NR,DE,90.5,bearden,PA,0.0259794308996445
harrisburgpa,harrisburgpa,harrisburg,PA,PA,100.0,harrisburg,NE,0.1370135969630668
nowataok,nowataok,nowata,OK,OK,100.0,nowata,OK,0.5470363588573329
portjervisny,portjervisny,port jervis,NY,NY,100.0,port jervis,NY,0.2521132042392841
ewirms,ewirmd,ewir,MS,MD,60.0,ewir,PA,0.0259794308996445
kansascityk,kansascityks,kansas city,K,KS,100.0,kansas city,MO,0.35205527336487
starharbortx,starharborid,star harbor,TX,ID,90.5,star harbor,DE,0.2487336181267377
rockriverwy,rockriveroh,rock river,WY,OH,90.9090909090909,rock river,WY,0.4796405189735009
montgoerycitymo,montgoerycitymo,montgoery city,MO,MO,93.33333333333331,montgoery city,VA,0.092575004841018
carpentersvilleil,carpentersvilleil,carpentersville,IL,IL,100.0,carpentersville,IL,0.0349335350713326
miamitownho,miamitownoh,miamitown,HO,OH,100.0,miamitown,OH,0.0577745931942411
equalityil,equalityca,equality,IL,CA,66.66666666666666,equality,PA,0.0259794308996445
tuttleok,tuttleok,tuttle,OK,OK,100.0,tuttle,OK,0.0638307543640831
mountolviecn,mountolvieal,mount olvie,CN,AL,90.9090909090909,mount olvie,KY,0.1033938463884584
whitmebv,whitmebsc,whitmeb,V,SC,75.0,whitmeb,PA,0.0259794308996445
amblerpa,amblerpa,ambler,PA,PA,100.0,ambler,PA,0.0361012609900843
willistonnd,willistonnd,williston,ND,ND,100.0,williston,VT,0.1449036776966846
jellicot,jellicotn,jellico,T,TN,100.0,jellico,TN,0.0493296923879667
northlindenhurstny,northlindenhurstny,north lindenhurst,NY,NY,100.0,north lindenhurst,NY,0.131405802502923
presqueisleharbormi,presqueisleharborme,presque isle harbor,MI,ME,90.5,presque isle harbor,ME,0.5467414945395916
frontiernd,frontiernd,frontier,ND,ND,71.42857142857143,frontier,NE,0.5507505356467944
iolapa,iolaks,iola,PA,KS,100.0,iola,WI,0.0750312298642705
holladayut,holladayut,holladay,UT,UT,100.0,holladay,UT,0.2563114959228773
htillopr,htillopr,htillo,PR,PR,85.71428571428571,htillo,PA,0.0259794308996445
whitesulphurspringswv,whitesulphurspringswv,white sulphur springs,WV,WV,100.0,white sulphur springs,MT,0.2400597536930735
knobelar,knobelin,knobel,AR,IN,75.0,knobel,PA,0.0259794308996445
sunmanin,sunmanin,sunman,IN,IN,100.0,sunman,IN,0.0477571380942961
tangentor,tangentor,tangent,OR,OR,100.0,tangent,OR,0.0748243185628852
faiviewh,faiviewca,faiview,H,CA,87.5,faiview,NJ,0.0645272551366151
birdongar,birdongtx,birdong,AR,TX,80.0,birdong,PA,0.0259794308996445
cranesvillepa,cranesvillega,cranesville,PA,GA,90.9090909090909,cranesville,PA,0.0259794308996445
draperva,draperut,draper,VA,UT,100.0,draper,UT,0.2563114959228773
spiritlakeia,spiritlakeia,spirit lake,IA,IA,100.0,spirit lake,ID,0.480641974296381
fellowsca,fellowsco,fellows,CA,CO,80.0,fellows,PA,0.0259794308996445
deferitny,deferitar,deferit,NY,AR,80.0,deferit,PA,0.0259794308996445
cooperstwonpa,cooperstwonny,cooperstwon,PA,NY,90.9090909090909,cooperstwon,PA,0.0259794308996445
libertyok,libertyin,liberty,OK,IN,100.0,liberty,MT,0.1572696282555905
cameronsc,cameronla,cameron,SC,LA,100.0,cameron,LA,0.1815989064090108
starprairiewi,starprairiemo,star prairie,WI,MO,91.66666666666666,star prairie,AR,0.4583593302420714
coyaw,coywy,coy,AW,WY,75.0,coy,WY,0.3017530946300409
sunlakesaz,sunlakesaz,sun lakes,AZ,AZ,100.0,sun lakes,AZ,0.5145594990359406
cedarhilltx,cedarhilltx,cedar hill,TX,TX,100.0,cedar hill,OR,0.1637164008349183
tusculumtn,tusculumtn,tusculum,TN,TN,100.0,tusculum,TN,0.1962721013280289
yachatsor,yachatsak,yachats,OR,AK,90.5,yachats,PA,0.0259794308996445
tickfawla,tickfawfl,tickfaw,LA,FL,75.0,tickfaw,PA,0.0259794308996445
audubonparkky,audubonparkky,audubon park,KY,KY,100.0,audubon park,NJ,0.2771876065776388
elginia,elginil,elgin,IA,IL,100.0,elgin,IL,0.119501922247742
westpointal,westpointga,west point,AL,GA,100.0,west point,WA,0.1456084514769795
kensettar,kensettar,kensett,AR,AR,100.0,kensett,AR,0.0619033784071979
fayettevilleil,fayettevilleal,fayetteville,IL,AL,100.0,fayetteville,WV,0.131617033426215
laekforestparkwa,laekforestparkwa,laek forest park,WA,WA,93.75,laek forest park,IL,0.2396595011928744
pearlriverms,pearlriverms,pearl river,MS,MS,100.0,pearl river,MS,0.3413163363077575
portashingtonwi,portashingtonwi,port ashington,WI,WI,93.33333333333331,port ashington,DC,0.2709183186754855
walnutgrovegmo,walnutgroveca,walnut grove,GMO,CA,100.0,walnut grove,CA,0.1226292509959045
janesvilleca,janesvilleca,janesville,CA,CA,100.0,janesville,MN,0.0798236066347085
muprhysca,muprhysca,muprhys,CA,CA,85.71428571428571,muprhys,PA,0.0259794308996445
shilohil,shilohil,shiloh,IL,IL,100.0,shiloh,OH,0.0541648995929519
defincemo,definceoh,defince,MO,OH,87.5,defince,OH,0.0571748944108002
slovnapa,slovnaia,slovna,PA,IA,80.0,slovna,PA,0.0259794308996445
fincastleva,fincastleva,fincastle,VA,VA,100.0,fincastle,TN,0.0961466627961799
orchardmesaco,orchardmesaco,orchard mesa,CO,CO,100.0,orchard mesa,CO,0.8073418423033857
remyok,remyga,remy,OK,GA,75.0,remy,PA,0.0259794308996445
westmilfordwv,westmilfordnj,west milford,WV,NJ,100.0,west milford,CT,0.2326636629800525
fortgreleyak,fortgreleyga,fort greley,AK,GA,81.81818181818183,fort greley,WY,0.1431224358808058
easthamptonma,easthamptonma,easthampton,MA,MA,100.0,easthampton,MA,0.0563666899965178
smithvillageok,smithvillagenv,smith village,OK,NV,90.5,smith village,NV,0.4188541773085936
nuions,nuionor,nuion,S,OR,83.33333333333334,nuion,PA,0.0259794308996445
gibsonvillenc,gibsonvillenc,gibsonville,NC,NC,100.0,gibsonville,NC,0.0421718744266612
bracevilleil,bracevillefl,braceville,IL,FL,90.0,braceville,PA,0.0259794308996445
summitparkut,summitparkut,summit park,UT,UT,100.0,summit park,UT,0.4619060404140303
governmentcampr,governmentcampks,government camp,R,KS,90.5,government camp,AZ,0.2883504286335829
atlanticpa,atlanticia,atlantic,PA,IA,100.0,atlantic,NJ,0.3186674147379923
shalimarfl,shalimardc,shalimar,FL,DC,75.0,shalimar,PA,0.0259794308996445
edwardsburgmi,edwardsburgmi,edwardsburg,MI,MI,100.0,edwardsburg,MI,0.0422036710995163
lucasvilleoh,lucasvilleoh,lucasville,OH,OH,100.0,lucasville,OH,0.0577745931942411
roanokeil,roanokeil,roanoke,IL,IL,100.0,roanoke,VA,0.3741830784271167
awynesborova,awynesborova,awynesboro,VA,VA,90.0,awynesboro,PA,0.0259794308996445
lakejunaluskancm,lakejunaluskanc,lake junaluska,NCM,NC,100.0,lake junaluska,NC,0.1341524222035295
craneni,cranemo,crane,NI,MO,100.0,crane,TX,0.1255528285143919
lulingtx,lulingtx,luling,TX,TX,100.0,luling,LA,0.0572897732670047
sabanagrandepr,sabanagrandepr,sabana grande,PR,PR,100.0,sabana grande,PR,0.960344939778384
farwellne,farwelltx,farwell,NE,TX,100.0,farwell,TX,0.0311476746087125
montroseny,montroseny,montrose,NY,NY,100.0,montrose,CO,0.2175525297781275
fhrestms,fhrestms,fhrest,MS,MS,83.33333333333334,fhrest,PA,0.0259794308996445
kirbywy,kirbytx,kirby,WY,TX,100.0,kirby,TX,0.0406938805053028
sawyerwoodoh,sawyerwoodoh,sawyerwood,OH,OH,100.0,sawyerwood,OH,0.0577745931942411
montereyn,montereyca,monterey,N,CA,100.0,monterey,NM,0.372680794010507
rockvillect,rockvillect,rockville,CT,CT,100.0,rockville,CT,0.0761042323976115
linndaleoh,linndalems,linndale,OH,MS,90.5,linndale,PA,0.0259794308996445
sibleymo,sibleyia,sibley,MO,IA,100.0,sibley,MN,0.3216441580006298
laketomahawki,laketomahawkak,lake tomahawk,I,AK,80.0,lake tomahawk,WI,0.1402196733266655
remindervilleoh,remindervilleoh,reminderville,OH,OH,100.0,reminderville,OH,0.0373012794621199
severyks,severymd,severy,KS,MD,83.33333333333334,severy,PA,0.0259794308996445
jasperal,jasperal,jasper,AL,AL,100.0,jasper,SC,0.1411100336373567
grenadaca,grenadams,grenada,CA,MS,100.0,grenada,MS,0.7522985880572918
sorzdeposita,sorzdeposital,sorz deposit,A,AL,83.33333333333334,sorz deposit,AL,0.2598489236913009
lochlomondva,lochlomondva,loch lomond,VA,VA,100.0,loch lomond,VA,0.3860827135528415
winchesterok,winchesterca,winchester,OK,CA,100.0,winchester,NV,0.2177453557815719
dickersoncityfl,dickersoncityks,dickerson city,FL,KS,88.88888888888889,dickerson city,VA,0.4645090331104248
blawenburgnj,blawenburgmd,blawenburg,NJ,MD,81.81818181818183,blawenburg,PA,0.0259794308996445
newringgoldpa,newringgoldmn,new ringgold,PA,MN,75.0,new ringgold,IA,0.1317921734153625
nenahnezadnm,nenahnezadar,nenahnezad,NM,AR,90.5,nenahnezad,PA,0.0259794308996445
kirkmania,kirkmanky,kirkman,IA,KY,85.71428571428571,kirkman,PA,0.0259794308996445
ponceinletfl,ponceinletfl,ponce inlet,FL,FL,100.0,ponce inlet,SC,0.2050869575722456
summerhavenaz,summerhavenil,summerhaven,AZ,IL,83.33333333333334,summerhaven,PA,0.0259794308996445
marspa,marspa,mars,PA,PA,100.0,mars,NC,0.119368358506422
manchesterky,manchesterky,manchester,KY,KY,100.0,manchester,VT,0.1740831662187731
brownsborovillageky,brownsborovillagetx,brownsboro village,KY,TX,90.5,brownsboro village,CT,0.0909221952954816
jacksoncenteroh,jacksoncenteroh,jackson center,OH,OH,100.0,jackson center,CT,0.1567735504519659
fortvalleyga,fortvalleyga,fort valley,GA,GA,100.0,fort valley,MT,0.1696262281012154
horseshoebendhar,horseshoebendar,horseshoe bend,HAR,AR,100.0,horseshoe bend,AR,0.4268077851998677
bassttne,bassttne,basstt,NE,NE,85.71428571428571,basstt,NE,0.1986854836953843
dalzellil,dalzellsc,dalzell,IL,SC,100.0,dalzell,SC,0.4032786986504788
bntonharbormi,bntonharbormi,bnton harbor,MI,MI,92.3076923076923,bnton harbor,NY,0.1090593126336048
inglewoodne,inglewoodca,inglewood,NE,CA,100.0,inglewood,WA,0.1432207807958571
vanderbiltpa,vanderbiltnc,vanderbilt,PA,NC,90.5,vanderbilt,PA,0.0259794308996445
harpsterh,harpstermi,harpster,H,MI,75.0,harpster,PA,0.0259794308996445
fountainhead-orchardhillsmd,fountainhead-orchardhillsmd,fountainhead-orchard hills,MD,MD,100.0,fountainhead-orchard hills,MD,0.4607705647866463
valleyspringsar,valleyspringsca,valley springs,AR,CA,100.0,valley springs,NV,0.436824894922423
jeffersonvalley-yorktownny,jeffersonvalley-yorktownny,jefferson valley-yorktown,NY,NY,100.0,jefferson valley-yorktown,NY,0.2096308239259365
portlandco,portlandct,portland,CO,CT,100.0,portland,ME,0.3517075140164565
buttedesmortswi,buttedesmortsak,butte des morts,WI,AK,90.5,butte des morts,SD,0.1541368993958107
indianspringsmd,indianspringsga,indian springs,MD,GA,100.0,indian springs,NV,0.4699437316713005
dahlgernva,dahlgernva,dahlgern,VA,VA,87.5,dahlgern,PA,0.0259794308996445
farmersvilleoh,farmersvilleoh,farmersville,OH,OH,100.0,farmersville,OH,0.0364449054050466
rockwellai,rockwellar,rockwell,AI,AR,100.0,rockwell,IA,0.2787553381470107
okeekeok,okeekear,okeeke,OK,AR,100.0,okeeke,PA,0.0259794308996445
chasepa,chaseal,chase,PA,AL,71.42857142857143,chase,DC,0.8457350580704662
augustami,augustaar,augusta,MI,AR,100.0,augusta,SC,0.1472898120532093
daytonin,daytonin,dayton,IN,IN,100.0,dayton,NV,0.1041783935080585
coburgia,coburgor,coburg,IA,OR,100.0,coburg,OR,0.0748243185628852
cherawco,cherawsc,cheraw,CO,SC,100.0,cheraw,SC,0.0681182114097765
donnelsvilleoh,donnelsvillein,donnelsville,OH,IN,91.66666666666666,donnelsville,PA,0.0259794308996445
bartelsoil,bartelsoia,bartelso,IL,IA,83.33333333333334,bartelso,PA,0.0259794308996445
rhodellwv,rhodelltx,rhodell,WV,TX,80.0,rhodell,PA,0.0259794308996445
wardenwa,wardenwa,warden,WA,WA,100.0,warden,WA,0.0471857718628021
northhillsw,northhillsca,north hills,W,CA,100.0,north hills,NY,0.1292174489219706
neaescova,neaescomi,neaesco,VA,MI,83.33333333333334,neaesco,PA,0.0259794308996445
highfillar,highfillmn,highfill,AR,MN,77.77777777777779,highfill,PA,0.0259794308996445
earlonks,earlonar,earlon,KS,AR,80.0,earlon,PA,0.0259794308996445
ocotilldca,ocotilldny,ocotilld,CA,NY,83.33333333333334,ocotilld,PA,0.0259794308996445
panaaok,panaane,panaa,OK,NE,100.0,panaa,OK,0.0623835338694811
springhousepa,springhousepa,spring house,PA,PA,100.0,spring house,VA,0.1756419483454422
inyokernca,inyokernca,inyokern,CA,CA,100.0,inyokern,CA,0.031879825005699
oilcitypa,oilcitypa,oil city,PA,PA,100.0,oil city,VA,0.1010532023008405
elmgroveok,elmgrovewi,elm grove,OK,WI,100.0,elm grove,WI,0.2676596401930379
sewall'spointfl,sewall'spointfl,sewall's point,FL,FL,100.0,sewall's point,FL,0.1291017856278189
orchardmesaco,orchardmesaco,orchard mesa,CO,CO,100.0,orchard mesa,CO,0.8073418423033857
freeportfl,freeportfl,freeport,FL,FL,100.0,freeport,ME,0.1495899993933785
lindsayne,lindsayca,lindsay,NE,CA,100.0,lindsay,OK,0.0618292958397665
churchvillep,churchvilleny,churchville,P,NY,100.0,churchville,NY,0.044860932313357
dieterichic,dieterichga,dieterich,IC,GA,83.33333333333334,dieterich,PA,0.0259794308996445
kingstownmd,kingstownmd,kingstown,MD,MD,100.0,kingstown,RI,0.9476665551356608
beldingmi,beldingmi,belding,MI,MI,100.0,belding,MI,0.1310082806463641
dryprongla,dryprongne,dry prong,LA,NE,66.66666666666666,dry prong,OH,0.3499348609696111
klemmeia,klemmeaz,klemme,IA,AZ,83.33333333333334,klemme,PA,0.0259794308996445
cadottwi,cadottwi,cadott,WI,WI,100.0,cadott,WI,0.0857032947806869
harleysvillepa,harleysvillepa,harleysville,PA,PA,100.0,harleysville,PA,0.0496484388263135
shandonca,shandonca,shandon,CA,CA,100.0,shandon,GA,0.0402177883906463
willoughbyhillsoh,willoughbyhillsoh,willoughby hills,OH,OH,100.0,willoughby hills,OH,0.348678127591744
decordovatx,decordovatx,decordova,TX,TX,100.0,decordova,TX,0.0311476746087125
brownsdalefl,brownsdaleca,brownsdale,FL,CA,80.0,brownsdale,PA,0.0259794308996445
orettala,orettaca,oretta,LA,CA,83.33333333333334,oretta,PA,0.0259794308996445
ipswichsd,ipswichsd,ipswich,SD,SD,100.0,ipswich,NH,0.2355884871062827
birdsongar,birdsongtx,birdsong,AR,TX,80.0,birdsong,PA,0.0259794308996445
sheakleyvillepa,sheakleyvilleny,sheakleyville,PA,NY,76.92307692307693,sheakleyville,PA,0.0259794308996445
uqinnesecmi,uqinnesecmi,uqinnesec,MI,MI,88.88888888888889,uqinnesec,PA,0.0259794308996445
westworthvillagetx,westworthvillagetx,westworth village,TX,TX,90.5,westworth village,CT,0.0909221952954816
holidaylakesoh,holidaylakestx,holiday lakes,OH,TX,100.0,holiday lakes,NJ,0.7909621495166882
pinecznyonca,pinecznyonaz,pine cznyon,CA,AZ,90.5,pine cznyon,NV,0.1559384731636913
thousandpalmsca,thousandpalmsca,thousand palms,CA,CA,100.0,thousand palms,CA,0.3303235047393822
decaturar,decaturar,decatur,AR,AR,100.0,decatur,GA,0.1234105879625889
underwoodnd,underwoodfl,underwood,ND,FL,77.77777777777779,underwood,AL,0.4249792280861768
sanrafaelca,sanrafaelca,san rafael,CA,CA,100.0,san rafael,PR,0.9358512520544616
hilliardqoh,hilliardfl,hilliard,QOH,FL,100.0,hilliard,OH,0.0367305057578325
pearlbeachmi,pearlbeachmi,pearl beach,MI,MI,100.0,pearl beach,HI,0.6304046675716951
blodgettor,blodgettga,blodgett,OR,GA,75.0,blodgett,PA,0.0259794308996445
sentinelok,sentinelfl,sentinel,OK,FL,90.5,sentinel,PA,0.0259794308996445
chnowethor,chnowethor,chnoweth,OR,OR,88.88888888888889,chnoweth,OR,0.0748243185628852
balmvilleny,balmvilleny,balmville,NY,NY,100.0,balmville,NY,0.0330720197492479
debequeco,debequeil,deb eque,CO,IL,66.66666666666666,deb eque,PA,0.0259794308996445
ridgevilleal,ridgevillesc,ridgeville,AL,SC,100.0,ridgeville,OH,0.1022773480410088
southkensingtonmd,southkensingtonmd,south kensington,MD,MD,100.0,south kensington,MD,0.2489101819554008
calientenv,calientenv,caliente,NV,NV,100.0,caliente,NV,0.5086786907232862
lewistowril,lewistowril,lewistowr,IL,IL,88.88888888888889,lewistowr,PA,0.0259794308996445
edmondsonar,edmondsonok,edmondson,AR,OK,90.5,edmondson,PA,0.0259794308996445
melvillemo,melvillela,melville,MO,LA,100.0,melville,RI,0.3555358900666197
jacksonvilleoh,jacksonvilleoh,jacksonville,OH,OH,90.5,jacksonville,IL,0.1017861085234802
deerislandor,deerislandin,deer island,OR,IN,90.5,deer island,WA,0.2081224314106698
twinlakescnm,twinlakescnm,twin lakesc,NM,NM,90.5,twin lakesc,ID,0.4429998498896733
springgroveil,springgroveil,spring grove,IL,IL,100.0,spring grove,MN,0.1600807328671274
spadlingnw,spadlingme,spadling,NW,ME,66.66666666666666,spadling,PA,0.0259794308996445
turkeyreekla,turkeyreekga,turkey  reek,LA,GA,83.33333333333334,turkey  reek,AK,0.0860366593141751
annandalemn,annandalemn,annandale,MN,MN,100.0,annandale,MN,0.0799882153755823
northshoreca,northshoreva,north shore,CA,VA,100.0,north shore,MD,0.2795137372706561
stillwaterok,stillwaterok,stillwater,OK,OK,100.0,stillwater,MT,0.3439660058193222
otisks,otisma,otis,KS,MA,100.0,otis,WA,0.2792628991439279
sananselmoa,sananselmoca,san anselmo,A,CA,100.0,san anselmo,CA,0.590948143449664
phoenixor,phoenixor,phoenix,OR,OR,100.0,phoenix,AZ,0.162471901719624
walnutportpa,walnutportpa,walnutport,PA,PA,100.0,walnutport,PA,0.0496484388263135
hardinsburgin,hardinsburgky,hardinsburg,IN,KY,100.0,hardinsburg,KY,0.0467781084926376
schulterok,schulterne,schulter,OK,NE,87.5,schulter,PA,0.0259794308996445
fortcoffeeo,fortcoffeefl,fort coffee,O,FL,72.72727272727273,fort coffee,AL,0.354186247776051
oldbethpageny,oldbethpageny,old bethpage,NY,NY,100.0,old bethpage,NY,0.2891833645866834
blatimoermd,blatimoermd,blatimoer,MD,MD,77.77777777777779,blatimoer,PA,0.0259794308996445
carrolltonva,carrolltonva,carrollton,VA,VA,100.0,carrollton,MD,0.1023437697888366
walkervalleyny,walkervalleyla,walker valley,NY,LA,90.5,walker valley,MD,0.1112124368409706
queensgatepa,queensgateny,queens gate,PA,NY,90.5,queens gate,NY,0.3134484312081395
ladogain,ladogaia,ladoga,IN,IA,83.33333333333334,ladoga,PA,0.0259794308996445
sverettsnp,sverettsma,sveretts,NP,MA,85.71428571428571,sveretts,PA,0.0259794308996445
riverpinesca,riverpinesar,river pines,CA,AR,80.0,river pines,FL,0.2218469291838151
veraillesmo,veraillesmo,verailles,MO,MO,90.0,verailles,IN,0.0448916770446888
annabellaut,annabellaut,annabella,UT,UT,90.5,annabella,PA,0.0259794308996445
hillcresttx,hillcrestil,hillcrest,TX,IL,100.0,hillcrest,MD,0.1757405783916133
ingallsin,ingallsin,ingalls,IN,IN,100.0,ingalls,IN,0.0465081055245254
orangeac,orangeca,orange,AC,CA,100.0,orange,VT,0.3118437282395645
santaclausni,santaclausin,santa claus,NI,IN,100.0,santa claus,IN,0.2978605990772306
swinko,swinkmi,swink,O,MI,60.0,swink,PA,0.0259794308996445
valdostaga,valdostaga,valdosta,GA,GA,100.0,valdosta,GA,0.0407416937011491
sigourneyia,sigourneyia,sigourney,IA,IA,100.0,sigourney,IA,0.19534101437681
owendalemi,owendaletn,owendale,MI,TN,77.77777777777779,owendale,PA,0.0259794308996445
enosburgfallsvt,enosburgfallsvt,enosburg falls,VT,VT,100.0,enosburg falls,VT,0.8049745003826654
millersburgin,millersburgoh,millersburg,IN,OH,100.0,millersburg,OR,0.1610550933353282
saltilloms,saltilloms,saltillo,MS,MS,100.0,saltillo,MS,0.1578652914147961
richsquarenc,richsquaremn,rich square,NC,MN,75.0,rich square,UT,0.2873310134508822
cedarridgeca,cedarridgeca,ceda rridge,CA,CA,100.0,ceda rridge,OR,0.1203331997490397
plevnamo,plevnami,plevna,MO,MI,83.33333333333334,plevna,PA,0.0259794308996445
nashvilleoh,nashvillear,nashville,OH,AR,100.0,nashville,TN,0.145929808601626
holyroodks,holyroodmi,holyrood,KS,MI,80.0,holyrood,PA,0.0259794308996445
orkswa,orkswa,orks,WA,WA,80.0,orks,MT,0.0995627935279103
lafaettemn,lafaetteal,lafaette,MN,AL,88.88888888888889,lafaette,OR,0.1192894501764657
prettyprairieks,prettyprairieid,pretty prairie,KS,ID,83.33333333333334,pretty prairie,AR,0.1202018659415669
lylestn,lylestx,lyles,TN,TX,90.5,lyles,PA,0.0259794308996445
craborhcardtn,craborhcardwv,crab orhcard,TN,WV,91.66666666666666,crab orhcard,WV,0.4819309281668265
otwellin,otwelltx,otwell,IN,TX,85.71428571428571,otwell,PA,0.0259794308996445
baldwinwi,baldwinwi,baldwin,WI,WI,100.0,baldwin,AL,0.1664910042713268
sequoyahok,sequoyahca,sequoyah,OK,CA,66.66666666666666,sequoyah,OK,0.3974453485182258
lambogliapr,lambogliapr,lamboglia,PR,PR,100.0,lamboglia,PR,0.3410476837290574
unionhill-noveltyhillwa,unionhill-noveltyhillwa,union hill-novelty hill,WA,WA,100.0,union hill-novelty hill,WA,0.3959241161068761
pleasanonne,pleasanonca,pleasanon,NE,CA,90.0,pleasanon,KS,0.1325697143388572
beechwoodms,beechwoodms,beechwood,MS,MS,100.0,beechwood,KY,0.2055937507272532
newportcentervt,newportcentervt,newport center,VT,VT,90.5,newport center,VT,0.2840384231918323
