OriginalCityStateID,NewCityStateID,City,OriginalState,NewState,MatchValue
rhodellwv,rhodelltx,rhodell,WV,TX,80.0
wardenwa,wardenwa,warden,WA,WA,100.0
northhillsw,northhillsca,north hills,W,CA,100.0
neaescova,neaescomi,neaesco,VA,MI,83.33333333333334
highfillar,highfillmn,highfill,AR,MN,77.77777777777779
earlonks,earlonar,earlon,KS,AR,80.0
ocotilldca,ocotilldny,ocotilld,CA,NY,83.33333333333334
panaaok,panaane,panaa,OK,NE,100.0
springhousepa,springhousepa,spring house,PA,PA,100.0
inyokernca,inyokernca,inyokern,CA,CA,100.0
oilcitypa,oilcitypa,oil city,PA,PA,100.0
elmgroveok,elmgrovewi,elm grove,OK,WI,100.0
sewall'spointfl,sewall'spointfl,sewall's point,FL,FL,100.0
orchardmesaco,orchardmesaco,orchard mesa,CO,CO,100.0
freeportfl,freeportfl,freeport,FL,FL,100.0
lindsayne,lindsayca,lindsay,NE,CA,100.0
churchvillep,churchvilleny,churchville,P,NY,100.0
dieterichic,dieterichga,dieterich,IC,GA,83.33333333333334
kingstownmd,kingstownmd,kingstown,MD,MD,100.0
beldingmi,beldingmi,belding,MI,MI,100.0
dryprongla,dryprongne,dry prong,LA,NE,66.66666666666666
klemmeia,klemmeaz,klemme,IA,AZ,83.33333333333334
cadottwi,cadottwi,cadott,WI,WI,100.0
harleysvillepa,harleysvillepa,harleysville,PA,PA,100.0
shandonca,shandonca,shandon,CA,CA,100.0
willoughbyhillsoh,willoughbyhillsoh,willoughby hills,OH,OH,100.0
decordovatx,decordovatx,decordova,TX,TX,100.0
brownsdalefl,brownsdaleca,brownsdale,FL,CA,80.0
orettala,orettaca,oretta,LA,CA,83.33333333333334
ipswichsd,ipswichsd,ipswich,SD,SD,100.0
birdsongar,birdsongtx,birdsong,AR,TX,80.0
sheakleyvillepa,sheakleyvilleny,sheakleyville,PA,NY,76.92307692307693
uqinnesecmi,uqinnesecmi,uqinnesec,MI,MI,88.88888888888889
westworthvillagetx,westworthvillagetx,westworth village,TX,TX,90.5
holidaylakesoh,holidaylakestx,holiday lakes,OH,TX,100.0
pinecznyonca,pinecznyonaz,pine cznyon,CA,AZ,90.5
thousandpalmsca,thousandpalmsca,thousand palms,CA,CA,100.0
decaturar,decaturar,decatur,AR,AR,100.0
underwoodnd,underwoodfl,underwood,ND,FL,77.77777777777779
sanrafaelca,sanrafaelca,san rafael,CA,CA,100.0
hilliardqoh,hilliardfl,hilliard,QOH,FL,100.0
pearlbeachmi,pearlbeachmi,pearl beach,MI,MI,100.0
blodgettor,blodgettga,blodgett,OR,GA,75.0
sentinelok,sentinelfl,sentinel,OK,FL,90.5
chnowethor,chnowethor,chnoweth,OR,OR,88.88888888888889
balmvilleny,balmvilleny,balmville,NY,NY,100.0
debequeco,debequeil,deb eque,CO,IL,66.66666666666666
ridgevilleal,ridgevillesc,ridgeville,AL,SC,100.0
southkensingtonmd,southkensingtonmd,south kensington,MD,MD,100.0
calientenv,calientenv,caliente,NV,NV,100.0
lewistowril,lewistowril,lewistowr,IL,IL,88.88888888888889
edmondsonar,edmondsonok,edmondson,AR,OK,90.5
melvillemo,melvillela,melville,MO,LA,100.0
jacksonvilleoh,jacksonvilleoh,jacksonville,OH,OH,90.5
deerislandor,deerislandin,deer island,OR,IN,90.5
twinlakescnm,twinlakescnm,twin lakesc,NM,NM,90.5
springgroveil,springgroveil,spring grove,IL,IL,100.0
spadlingnw,spadlingme,spadling,NW,ME,66.66666666666666
turkeyreekla,turkeyreekga,turkey  reek,LA,GA,83.33333333333334
annandalemn,annandalemn,annandale,MN,MN,100.0
northshoreca,northshoreva,north shore,CA,VA,100.0
stillwaterok,stillwaterok,stillwater,OK,OK,100.0
otisks,otisma,otis,KS,MA,100.0
sananselmoa,sananselmoca,san anselmo,A,CA,100.0
phoenixor,phoenixor,phoenix,OR,OR,100.0
walnutportpa,walnutportpa,walnutport,PA,PA,100.0
hardinsburgin,hardinsburgky,hardinsburg,IN,KY,100.0
schulterok,schulterne,schulter,OK,NE,87.5
fortcoffeeo,fortcoffeefl,fort coffee,O,FL,72.72727272727273
oldbethpageny,oldbethpageny,old bethpage,NY,NY,100.0
blatimoermd,blatimoermd,blatimoer,MD,MD,77.77777777777779
carrolltonva,carrolltonva,carrollton,VA,VA,100.0
walkervalleyny,walkervalleyla,walker valley,NY,LA,90.5
queensgatepa,queensgateny,queens gate,PA,NY,90.5
ladogain,ladogaia,ladoga,IN,IA,83.33333333333334
sverettsnp,sverettsma,sveretts,NP,MA,85.71428571428571
riverpinesca,riverpinesar,river pines,CA,AR,80.0
veraillesmo,veraillesmo,verailles,MO,MO,90.0
annabellaut,annabellaut,annabella,UT,UT,90.5
hillcresttx,hillcrestil,hillcrest,TX,IL,100.0
ingallsin,ingallsin,ingalls,IN,IN,100.0
orangeac,orangeca,orange,AC,CA,100.0
santaclausni,santaclausin,santa claus,NI,IN,100.0
swinko,swinkmi,swink,O,MI,60.0
valdostaga,valdostaga,valdosta,GA,GA,100.0
sigourneyia,sigourneyia,sigourney,IA,IA,100.0
owendalemi,owendaletn,owendale,MI,TN,77.77777777777779
enosburgfallsvt,enosburgfallsvt,enosburg falls,VT,VT,100.0
millersburgin,millersburgoh,millersburg,IN,OH,100.0
saltilloms,saltilloms,saltillo,MS,MS,100.0
richsquarenc,richsquaremn,rich square,NC,MN,75.0
cedarridgeca,cedarridgeca,ceda rridge,CA,CA,100.0
plevnamo,plevnami,plevna,MO,MI,83.33333333333334
nashvilleoh,nashvillear,nashville,OH,AR,100.0
holyroodks,holyroodmi,holyrood,KS,MI,80.0
orkswa,orkswa,orks,WA,WA,80.0
lafaettemn,lafaetteal,lafaette,MN,AL,88.88888888888889
prettyprairieks,prettyprairieid,pretty prairie,KS,ID,83.33333333333334
lylestn,lylestx,lyles,TN,TX,90.5
craborhcardtn,craborhcardwv,crab orhcard,TN,WV,91.66666666666666
otwellin,otwelltx,otwell,IN,TX,85.71428571428571
baldwinwi,baldwinwi,baldwin,WI,WI,100.0
sequoyahok,sequoyahca,sequoyah,OK,CA,66.66666666666666
lambogliapr,lambogliapr,lamboglia,PR,PR,100.0
unionhill-noveltyhillwa,unionhill-noveltyhillwa,union hill-novelty hill,WA,WA,100.0
pleasanonne,pleasanonca,pleasanon,NE,CA,90.0
beechwoodms,beechwoodms,beechwood,MS,MS,100.0
newportcentervt,newportcentervt,newport center,VT,VT,90.5
velmaok,velmaal,velma,OK,AL,80.0
kemmererwy,kemmererwy,kemmerer,WY,WY,100.0
waynesburgpa,waynesburgpa,waynesburg,PA,PA,100.0
eactharwichma,eactharwichma,eact harwich,MA,MA,91.66666666666666
porlionska,porlionsms,por lions,KA,MS,72.72727272727273
ottawahillsoh,ottawahillsoh,ottawa hills,OH,OH,100.0
fresnooh,fresnoca,fresno,OH,CA,100.0
empirega,empireca,empire,GA,CA,100.0
webstergrovesmob,webstergrovesmo,webster groves,MOB,MO,100.0
sevenvalleyspa,sevenvalleysaz,seven valleys,PA,AZ,90.5
deerfieldks,deerfieldil,deerfield,KS,IL,100.0
quitmanar,quitmanga,quitman,AR,GA,100.0
woodlawnparkky,woodlawnparkil,woodlawn park,KY,IL,90.5
norhpoleak,norhpoleak,norh pole,AK,AK,90.0
pumpbackok,pumpbacktn,pump back,OK,TN,80.0
dormontp,dormontpa,dormont,P,PA,100.0
dodsonitx,dodsonitx,dodsoni,TX,TX,90.5
broughtonil,broughtonma,broughton,IL,MA,77.77777777777779
potwinks,potwinil,potwin,KS,IL,83.33333333333334
harrodoh,harrodca,harrod,OH,CA,85.71428571428571
nixonpa,nixonpa,nixon,PA,PA,100.0
nicomaparkok,nicomaparkok,nicoma park,OK,OK,100.0
uillertonia,uillertonca,uillerton,IA,CA,88.88888888888889
glencoeky,glencoeal,glencoe,KY,AL,100.0
sanluisnm,sanluisaz,san luis,NM,AZ,100.0
northlightplantnm,northlightplantil,north light plant,NM,IL,80.0
sunvalleylakeia,sunvalleylakeaz,sun valley lake,IA,AZ,90.5
warsawil,warsawil,warsaw,IL,IL,100.0
dwightks,dwightil,dwight,KS,IL,100.0
pfllawi,pfllaia,pflla,WI,IA,80.0
palmvalleyfl,palmvalleyfl,palm valley,FL,FL,100.0
mlntaukny,mlntaukny,mlntauk,NY,NY,85.71428571428571
fairviewil,fairviewca,fairview,IL,CA,100.0
pinhurstnc,pinhurstnc,pinhurst,NC,NC,88.88888888888889
winterhavena,winterhavenfl,winterhaven,A,FL,91.66666666666666
springfieldgq,springfieldco,springfield,GQ,CO,100.0
bannerhilltn,bannerhilltn,banner hill,TN,TN,100.0
pennlakeparkpa,pennlakeparknj,penn lake park,PA,NJ,92.85714285714286
rocklandid,rocklandme,rockland,ID,ME,100.0
diablograndeca,diablograndeca,diabl ogrande,CA,CA,83.33333333333334
tuliatx,tuliatx,tulia,TX,TX,100.0
briceprairiewia,briceprairiewi,brice prairie,WIA,WI,100.0
burnsvillewv,burnsvillemn,burnsville,WV,MN,100.0
paynespringstx,paynespringsoh,payne springs,TX,OH,90.5
parklawnca,parklawnaz,parklawn,CA,AZ,80.0
canonmn,canonga,canon,MN,GA,100.0
skidmoretx,skidmoretx,skidmore,TX,TX,62.5
westphaliaia,westphaliamd,westphalia,IA,MD,100.0
dallascityilw,dallascityga,dallas city,ILW,GA,90.5
oakpointtx,oakpointtx,oak point,TX,TX,100.0
maguayorp,maguayoga,maguayo,RP,GA,80.0
luthermi,lutherok,luther,MI,OK,100.0
chambersburgpa,chambersburgpa,chambersburg,PA,PA,100.0
wellsborowpa,wellsborowpa,wellsborow,PA,PA,90.5
danielut,danielut,daniel,UT,UT,100.0
lehighks,lehighne,lehigh,KS,NE,100.0
atkinsar,atkinsar,atkins,AR,AR,100.0
stanwoodwa,stanwoodwa,stanwood,WA,WA,100.0
mendonmi,mendonma,mendon,MI,MA,100.0
edgewoodnm,edgewoodnm,edgewood,NM,NM,100.0
custermt,custersd,custer,MT,SD,100.0
blufordil,blufordnj,bluford,IL,NJ,85.71428571428571
pecostx,pecostx,pecos,TX,TX,100.0
ocheyedania,ocheyedannv,ocheyedan,IA,NV,83.33333333333334
blueridgesummitpa,blueridgesummital,blue ridge summit,PA,AL,90.5
slaughtervilleok,slaughtervilleok,slaughterville,OK,OK,100.0
yorketownnj,yorketownnj,yorketown,NJ,NJ,100.0
farmingtonar,farmingtonar,farmington,AR,AR,100.0
laescondidatx,laescondidaak,la escondida,TX,AK,80.0
arlintgonwa,arlintgonky,arlintgon,WA,KY,90.0
jeffersonvilleoh,jeffersonvilleoh,jeffersonville,OH,OH,100.0
swansaesc,swansaeil,swansae,SC,IL,85.71428571428571
fortdrmny,fortdrmny,fort drm,NY,NY,88.88888888888889
defianceia,defianceoh,defiance,IA,OH,100.0
dortchesc,dortchesal,dortches,C,AL,75.0
hilltoplakestx,hilltoplakestx,hilltop lakes,TX,TX,100.0
woodburycenterct,woodburycenterct,woodbury center,CT,CT,100.0
vanecsc,vanectx,vanec,SC,TX,90.5
pattersonga,pattersonca,patterson,GA,CA,100.0
petroliapa,petroliapa,petrolia,PA,PA,75.0
wiltonmanorsfl,wiltonmanorsfl,wilton manors,FL,FL,100.0
chickasawal,chickasawal,chickasaw,AL,AL,100.0
rosehillsca,rosehillsks,rose hills,CA,KS,90.5
sesseril,sesseril,sesser,IL,IL,100.0
stauntonil,stauntonil,staunton,IL,IL,100.0
marshallbergnc,marshallbergnc,marshallberg,NC,NC,90.5
liselil,lisella,lisel,IL,LA,83.33333333333334
joppaal,joppaaz,joppa,AL,AZ,66.66666666666666
lomalindawesttn,lomalindawestca,loma linda west,TN,CA,90.5
ronkonkomany,ronkonkomany,ronkonkoma,NY,NY,100.0
clevermo,clevermo,clever,MO,MO,100.0
jetmorek,jetmoreks,jetmore,K,KS,100.0
palominasaz,palominasia,palominas,AZ,IA,90.5
kerrickmn,kerrickny,kerrick,MN,NY,85.71428571428571
hyattvillewy,hyattvillemd,hyattville,WY,MD,90.9090909090909
dayvilleor,dayvilleal,dayville,OR,AL,87.5
odeboltia,odeboltca,odebolt,IA,CA,80.0
bethelacresok,bethelacresok,bethel acres,OK,OK,100.0
energyil,energyil,energy,IL,IL,100.0
feeportoh,feeportfl,feeport,OH,FL,87.5
hudsonlakein,hudsonlakein,hudson lake,IN,IN,100.0
gardendaleal,gardendaleal,gardendale,AL,AL,100.0
holdregene,holdregene,holdrege,NE,NE,100.0
menifeear,menifeeca,menifee,AR,CA,100.0
tazewelltn,tazewelltn,tazewell,TN,TN,100.0
selmatx,selmatx,selma,TX,TX,100.0
chambersne,chambersnm,chambers,NE,NM,80.0
waileahi,waileahi,wailea,HI,HI,100.0
louisvillems,louisvillems,louisville,MS,MS,100.0
wobunrma,wobunrma,wobunr,MA,MA,83.33333333333334
sparkmanar,sparkmantx,sparkman,AR,TX,87.5
hazelsd,hazelar,hazel,SD,AR,80.0
wrensga,wrensga,wrens,GA,GA,100.0
gervaisor,gervaisor,gervais,OR,OR,100.0
prospectparknj,prospectparknj,prospect park,NJ,NJ,100.0
huntleymt,huntleyil,huntley,MT,IL,100.0
peconicny,peconicnm,peconic,NY,NM,80.0
rockwellnc,rockwellnc,rockwell,NC,NC,100.0
casacoloradanm,casacoloradatx,casa colorada,NM,TX,80.0
bentonvilleoh,bentonvillear,bentonville,OH,AR,100.0
dotlakevillageak,dotlakevillageca,dot lake village,AK,CA,81.25
galenaak,galenail,galena,AK,IL,100.0
brookfieldmo,brookfieldmo,brookfield,MO,MO,100.0
northlakesnc,northlakesnc,northlakes,NC,NC,100.0
singacnj,singacnj,singac,NJ,NJ,100.0
statelinenv,statelinepa,stateline,NV,PA,90.0
alexandriamo,alexandriaal,alexandria,MO,AL,100.0
weskanqs,weskantx,weskan,QS,TX,75.0
boydt,boydtx,boyd,T,TX,100.0
brownellsk,brownellca,brownell,SK,CA,80.0
humboldtriverranchnv,humboldtriverranchia,humboldt river ranch,NV,IA,90.5
hanscomafbma,hanscomafbhi,hanscom afb,MA,HI,75.0
greneknollnj,greneknollnj,grene knoll,NJ,NJ,90.9090909090909
fruitladmd,fruitladmd,fruitlad,MD,MD,88.88888888888889
jenningsfl,jenningsla,jennings,FL,LA,100.0
midvaleid,midvaleut,midvale,ID,UT,100.0
quarryvillepa,quarryvillepa,quarryville,PA,PA,100.0
northsanpedrotx,northsanpedrony,north san pedro,TX,NY,88.88888888888889
whitelawwi,whitelawwi,whitelaw,WI,WI,77.77777777777779
panhandletx,panhandletx,panhandle,TX,TX,100.0
ledbetterky,ledbetterky,ledbetter,KY,KY,100.0
st.ucievillagefl,st.ucievillageca,st. ucie village,FL,CA,75.0
sunyoswegony,sunyoswegotx,suny oswego,NY,TX,66.66666666666666
parlierca,parlierca,parlier,CA,CA,100.0
philoca,philoil,philo,CA,IL,100.0
tequestafl,tequestafl,tequesta,FL,FL,100.0
belkal,belkca,belk,AL,CA,75.0
lymnvilleia,lymnvillems,lymnville,IA,MS,80.0
orouinoiw,orouinoid,orouino,IW,ID,85.71428571428571
idllsboronc,idllsborode,idllsboro,NC,DE,88.88888888888889
taospueblonm,taospueblonm,taos pueblo,NM,NM,100.0
lowmooria,lowmooril,low moor,IA,IL,75.0
edmontsonmd,edmontsonmd,edmontson,MD,MD,88.88888888888889
millstadtil,millstadtil,millstadt,IL,IL,100.0
wichitafallstx,wichitafallstx,wichita falls,TX,TX,100.0
powersvillmo,powersvillsc,powersvill,MO,SC,83.33333333333334
mayok,mayfl,may,OK,FL,75.0
cocoawestfl,cocoawestfl,cocoa west,FL,FL,100.0
berryhilltn,berryhillal,berry hill,TN,AL,90.5
hedgevsillewv,hedgevsilleky,hedgevsille,WV,KY,90.9090909090909
southsolonoh,southsolonaz,south solon,OH,AZ,83.33333333333334
pikevilletn,pikevilletn,pikeville,TN,TN,100.0
wheelerwi,wheelertx,wheeler,WI,TX,100.0
cottonwodz,cottonwodca,cottonw od,Z,CA,90.5
westpoinil,westpointx,west poin,IL,TX,90.5
casaconejoca,casaconejoca,casa conejo,CA,CA,100.0
crandonwi,crandonwi,crandon,WI,WI,100.0
ajoaz,ajoaz,ajo,AZ,AZ,100.0
badinnc,badinnc,badin,NC,NC,100.0
gibsoniap,gibsoniafl,gibsonia,P,FL,100.0
mcleanne,mcleanva,mclean,NE,VA,100.0
springfieldsc,springfieldco,springfield,SC,CO,100.0
tennatca,tennatfl,tennat,CA,FL,83.33333333333334
lakeangelusmi,lakeangelusak,lake angelus,MI,AK,80.0
chandlerok,chandlerok,chandler,OK,OK,100.0
coonvalleywi,coonvalleyaz,coon valley,WI,AZ,91.66666666666666
